grade,area,axis,content_number,content_text,source_year
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",1,"Reconocer las estructuras de las plantas con semillas: raíz, tallo, hojas, flores, frutos y semillas.",2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",2,"Reconocer la estructura de los animales vertebrados: cabeza, tronco y extremidades.",2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",3,"Distinguir las clases de vertebrados: peces, anfibios, reptiles, aves y mamíferos.",2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",4,Aproximarse a la estructura anatómica del organismo humano y reconocer semejanzas y diferencias con otros vertebrados.,2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",5,Acercarse al laboratorio escolar: reconocer necesidades mínimas y normas básicas de seguridad.,2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",6,"Explorar materiales simples y seguros (lupas de mano, goteros, vasos plásticos y otros).",2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",7,Valorar los aportes de las mujeres científicas en las ciencias biológicas y de la salud. [ESI],2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",8,Reconocer la naturaleza y su diversidad biológica como patrimonio local y proponer acciones para su conservación. [EAI],2026
1,Ciencias Naturales,"Los seres vivos: unidad, diversidad, interacciones y cambios",9,Aproximarse a saberes interculturales sobre la flora y la fauna del entorno próximo. [EI],2026
1,Ciencias Naturales,"Materiales: composición, propiedades y cambios",10,Reconocer características de los sólidos.,2026
1,Ciencias Naturales,"Materiales: composición, propiedades y cambios",11,"Explorar propiedades físicas de los sólidos: propiedades organolépticas, maleabilidad, elasticidad y dureza.",2026
1,Ciencias Naturales,"Materiales: composición, propiedades y cambios",12,"Diferenciar materia, materiales y objetos; describir, comparar y clasificar materiales por origen, composición y usos.",2026
1,Ciencias Naturales,"Materiales: composición, propiedades y cambios",13,"Reconocer las principales familias de materiales: metales, plásticos, cerámicos y biomateriales.",2026
1,Ciencias Naturales,"Materiales: composición, propiedades y cambios",14,Explorar propiedades del agua y reconocer su relevancia en fenómenos naturales.,2026
1,Ciencias Naturales,"Materiales: composición, propiedades y cambios",15,"Reconocer usos, cuidados y significados culturales del agua. [EAI, EI]",2026
1,Ciencias Naturales,"Materiales: composición, propiedades y cambios",16,"Analizar usos de los materiales y su impacto en el entorno próximo; aproximarse a la cultura de las R. [EAI, CDP]",2026
1,Ciencias Naturales,"Los fenómenos del mundo físico: movimiento, fuerzas, energía, luz y sonido",17,Reconocer fenómenos mecánicos y diferenciar movimientos de rotación y traslación.,2026
1,Ciencias Naturales,"Los fenómenos del mundo físico: movimiento, fuerzas, energía, luz y sonido",18,Identificar movimientos en objetos del entorno cercano.,2026
1,Ciencias Naturales,"Los fenómenos del mundo físico: movimiento, fuerzas, energía, luz y sonido",19,Reconocer normas de seguridad y explorar materiales simples y seguros en actividades experimentales.,2026
1,Ciencias Naturales,"Los fenómenos del mundo físico: movimiento, fuerzas, energía, luz y sonido",20,Valorar los aportes de las mujeres científicas en el campo de la Física. [ESI],2026
1,Ciencias Naturales,"Los fenómenos del mundo físico: movimiento, fuerzas, energía, luz y sonido",21,"Reconocer cosmovisiones y saberes culturales acerca de la luz, el espacio y el tiempo. [EI]",2026
1,Ciencias Naturales,"La Tierra, el universo y sus cambios",22,Observar las formas y componentes de los paisajes.,2026
